name,locations,text_tokens
วัดสีชมพู,location,วัด สีชมพู
วัดนารีราษฎร์ประดิษฐ์,location,วัด นารี ราษฎร์ ประดิษฐ์
วัดประยงค์กิตติวนาราม,location,วัด ประยงค์ กิตติ วนาราม
วัดแสนเกษม,location,วัด แสน เกษม
วัดใหม่เจริญราษฎร์,location,วัด ใหม่ เจริญ ราษฎร์
วัดทรัพย์สโมสรนิกรเกษม,location,วัด ทรัพย์ สโมสร นิกร เกษม
วัดสามง่าม,location,วัด สามง่าม
วัดลำพะอง,location,วัด ลำ พะอง
วัดอู่ตะเภา,location,วัด อู่ ตะเภา
วัดราษฎร์บำรุง,location,วัดราษฎร์ บำรุง
วัดลำต้อยติ่ง,location,วัด ลำ ต้อยติ่ง
วัดลำวังคาสุทธาวาส,location,วัด ลำ วัง คา สุทธาวาส
วัดใหม่กระทุ่มล้ม,location,วัด ใหม่ กระทุ่ม ล้ม
วัดแก้วแจ่มฟ้า,location,วัด แก้ว แจ่ม ฟ้า
วัดมหาพฤฒาราม,location,วัด มหา พฤฒา ราม
วัดม่วงแค,location,วัด ม่วง แค
วัดสวนพลู,location,วัด สวน พลู
วัดหัวลำโพง,location,วัด หัว ลำโพง
วัดไตรรัตนาราม,location,วัด ไตร รัตนา ราม
วัดบางบัว,location,วัด บาง บัว
วัดศิริพงษ์ธรรมนิมิต,location,วัด ศิริพงษ์ ธรรม นิมิต
วัดกลาง,location,วัด กลาง
วัดจันทวงศาราม,location,วัด จัน ทวง ศา ราม
วัดจันทวงศาราม (กลาง),location,วัด จัน ทวง ศา ราม ( กลาง )
วัดบึงทองหลาง,location,วัด บึง ทองหลาง
วัดเทพลีลา,location,วัด เทพ ลีลา
วัดพระไกรสีห์,location,วัด พระ ไกร สีห์
วัดศรีบุญเรือง,location,วัด ศรีบุญเรือง
วัดชัยมงคล,location,วัด ชัย มงคล
วัดชำนิหัตถการ,location,วัด ชำนิ หัตถการ
วัดสระบัว,location,วัด สระ บัว
วัดคณิกาผล,location,วัด คณิกา ผล
วัดพลับพลาชัย,location,วัด พลับพลา ชัย
วัดดิสานุการาม,location,วัด ดิ สานุ กา ราม
วัดเทวีวรญาติ,location,วัด เทวี วร ญาติ
วัดสิตาราม,location,วัด สิ ตา ราม
วัดพระพิเรนทร์,location,วัด พระ พิเรนทร์
วัดสระเกศ,location,วัด สระ เกศ
วัดสุนทรธรรมทาน,location,วัด สุนทร ธรรม ทาน
วัดบุญรอดธรรมาราม,location,วัด บุญรอด ธรรมา ราม
วัดราษฎร์ศรัทธาธรรม,location,วัดราษฎร์ ศรัทธา ธรรม
วัดวชิรธรรมสาธิต,location,วัด วชิร ธรรม สาธิต
วัดบางเพ็งใต้,location,วัด บาง เพ็ง ใต้
วัดบำเพ็ญเหนือ,location,วัด บำเพ็ญ เหนือ
วัดแสนสุข,location,วัด แสน สุข
วัดทองสัมฤทธิ์,location,วัด ทองสัมฤทธิ์
วัดศรีกุเรชา,location,วัด ศรี กุ เร ชา
วัดใหม่ลำนกแขวก,location,วัด ใหม่ ลำ นก แขวก
วัดปลูกศรัทธา,location,วัด ปลูก ศรัทธา
วัดลาดกระบัง,location,วัด ลาดกระบัง
วัดลานบุญ,location,วัด ลาน บุญ
วัดสังฆราชา,location,วัด สังฆ ราชา
วัดปากบึง,location,วัด ปาก บึง
วัดบำรุงรื่น,location,วัด บำรุง รื่น
วัดบึงบัว,location,วัด บึง บัว
วัดอุทัยธรรมาราม,location,วัด อุทัย ธรรมา ราม
วัดพลมานีย์,location,วัด พล มา นีย์
วัดสุทธาโภชน์,location,วัด สุ ทธาโภชน์
วัดขุมทอง,location,วัด ขุม ทอง
วัดราชโกษา,location,วัด ราช โก ษา
วัดวชิรธรรมาวาส,location,วัด วชิร ธรรมา วา ส
วัดคลองภูมิ,location,วัด คลอง ภูมิ
วัดคลองใหม่,location,วัด คลอง ใหม่
วัดช่องนนทรี,location,วัด ช่อง นนทรี
วัดช่องลม,location,วัด ช่องลม
วัดดอกไม้,location,วัด ดอกไม้
วัดด่าน,location,วัด ด่าน
วัดทองบน,location,วัด ทอง บน
